system_code,location_code,location_name,Managed_by_name,location_type_description,Location_Category_Description,primary_address_line_1,Website,PTO Website,PTO or Parent Coordinator contact availible?,Contact Pos,If_Contacted,If_Responded,Community_district,Council-district,Census_tract,NTA,NTA_Name,Principal_Name,Principal_title,Principal_phone_number,fax_number,Geographical_District_code,Administrative_District_Code,Administrative_District_Name,community_school_sup_name,Tier_3_Support_Location_Name,Tier_3_Support_Leader_Name,Police_precinct
13K011,K011,P.S. 011 Purvis J. Behan,DOE,General Academic,Elementary,419 WAVERLY AVENUE,https://www.ps11brooklyn.org/,,0,,0,,302,35,19900,BK69,Clinton Hill,Abidemi Hope,Principal,718-638-2661,718-622-3028,13,13,COMMUNITY SCHOOL DISTRICT 13,"SAMUELS, KAMAR",NYCDOE Borough Office - Brooklyn North,NULL,88
17K012,K012,Dr. Jacqueline Peek-Davis School,DOE,General Academic,Elementary,430 HOWARD AVENUE,http://www.ps12brooklyn.org/,,0,,0,,316,41,36300,BK79,Ocean Hill,SHAMIKA WATSON,I.A. Principal,718-953-4569,718-953-4428,23,17,COMMUNITY SCHOOL DISTRICT 17,"ELLIS, CLARENCE",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,73
19K013,K013,P.S. 013 Roberto Clemente,DOE,General Academic,Elementary,557 PENNSYLVANIA AVENUE,,,0,,0,,305,42,112600,BK85,East New York (Pennsylvania Ave),Maxine Cameron,Principal,718-498-3717,718-345-2396,19,19,COMMUNITY SCHOOL DISTRICT 19,THOMAS MCBRYDE JR,NYCDOE Borough Office - Brooklyn North,NULL,75
22K014,K014,J.H.S. 014 Shell Bank,DOE,General Academic,Junior High-Intermediate-Middle,2424 BATCHELDER STREET,https://www.shellbankjhs.org/,,0,,0,,315,48,59600,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Teri Ahearn,I.A. Principal,718-743-0220,718-769-8632,22,22,COMMUNITY SCHOOL DISTRICT 22,"BOVE, JULIA",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,61
15K015,K015,P.S. 015 Patrick F. Daly,DOE,General Academic,Elementary,71 SULLIVAN STREET,https://www.ps15k.org/,,1,,1,,306,38,5300,BK33,Carroll Gardens-Columbia Street-Red Hook,PEGGY WYNS MADISON,Principal,718-330-9280,718-596-2576,15,15,COMMUNITY SCHOOL DISTRICT 15,"SKOP, ANITA",NYCDOE Borough Office - Brooklyn North,NULL,76
14K016,K016,P.S. 016 Leonard Dunkly,DOE,General Academic,Elementary,157 WILSON STREET,https://www.brooklynps16.com/,https://www.brooklynps16.com/sltpta-hub,1,Parent Coordinator,1,,301,33,53500,BK72,Williamsburg,MARY RENNY,Principal,718-782-5352,718-486-8447,14,14,COMMUNITY SCHOOL DISTRICT 14,"WINNICKI, ALICJA",NYCDOE Borough Office - Brooklyn North,NULL,90
14K017,K017,P.S. 017 Henry D. Woodworth,DOE,General Academic,Elementary,208 NORTH  5 STREET,https://sites.google.com/schools.nyc.gov/ps17k/home,https://sites.google.com/schools.nyc.gov/ps17k/family-corner/FamilyCornerSubpage?authuser=0,1,PTO President,1,,301,34,51900,BK73,North Side-South Side,ROBERT MARCHI,Principal,718-387-2929,718-302-2311,14,14,COMMUNITY SCHOOL DISTRICT 14,"WINNICKI, ALICJA",NYCDOE Borough Office - Brooklyn North,NULL,94
14K018,K018,P.S. 018 Edward Bush,DOE,General Academic,Elementary,101 MAUJER STREET,https://ps18k.squarespace.com/,https://ps18k.squarespace.com/pta,1,PTO Presidents,1,,301,34,50300,BK90,East Williamsburg,Alison Alexander,Principal,718-387-3241,718-599-7744,14,14,COMMUNITY SCHOOL DISTRICT 14,"WINNICKI, ALICJA",NYCDOE Borough Office - Brooklyn North,NULL,90
13K020,K020,P.S. 020 Clinton Hill,DOE,General Academic,Elementary,225 ADELPHI STREET,https://www.ps20.org/,https://www.ps20.org/parent-community,1,Parent Outreach Correspondent,1,,302,35,18300,BK68,Fort Greene,Lena Barbera,Principal,718-834-6744,718-243-0712,13,13,COMMUNITY SCHOOL DISTRICT 13,"SAMUELS, KAMAR",NYCDOE Borough Office - Brooklyn North,NULL,88
16K021,K021,P.S. 021 Crispus Attucks,DOE,General Academic,Elementary,180 CHAUNCEY STREET,https://www.crispusattucks.school/,,0,,0,,303,36,38100,BK61,Crown Heights North,Leslie Frazier,Principal,718-493-9681,718-953-3980,16,16,COMMUNITY SCHOOL DISTRICT 16,"MARTIN, YOLANDA",NYCDOE Borough Office - Brooklyn North,NULL,81
14K023,K023,P.S. 023 Carter G. Woodson,DOE,General Academic,Elementary,545 WILLOUGHBY AVENUE,https://cartergwoodsonelem.wixsite.com/welcome,https://cartergwoodsonelem.wixsite.com/welcome/get-involved,0,,0,,303,36,25901,BK75,Bedford,Joseph Mattina,Principal,718-387-0375,718-302-2312,14,14,COMMUNITY SCHOOL DISTRICT 14,"WINNICKI, ALICJA",NYCDOE Borough Office - Brooklyn North,NULL,79
15K024,K024,P.S. 024,DOE,General Academic,Elementary,427 38 STREET,https://www.ps24brooklyn.com/,https://www.ps24brooklyn.com/pta-3,1,,1,,307,38,8400,BK32,Sunset Park West,JACQUELINE NIKOVIC,Principal,718-832-9366,718-832-9360,15,15,COMMUNITY SCHOOL DISTRICT 15,"SKOP, ANITA",NYCDOE Borough Office - Brooklyn North,NULL,72
16K025,K025,P.S. 025 Eubie Blake School,DOE,General Academic,Elementary,787 LAFAYETTE AVENUE,https://www.ps25k.com/,https://www.ps25k.com/pta.html,0,,0,,303,36,28100,BK35,Stuyvesant Heights,ANITA COLEY,Principal,718-574-2336,718-455-5838,16,16,COMMUNITY SCHOOL DISTRICT 16,"MARTIN, YOLANDA",NYCDOE Borough Office - Brooklyn North,NULL,79
16K026,K026,P.S. 026 Jesse Owens,DOE,General Academic,Elementary,1014 LAFAYETTE AVENUE,https://ps026k.echalksites.com/,,0,,0,,303,36,29100,BK35,Stuyvesant Heights,Cynthia Celestine,Principal,718-919-5707,718-574-2803,16,16,COMMUNITY SCHOOL DISTRICT 16,"MARTIN, YOLANDA",NYCDOE Borough Office - Brooklyn North,NULL,81
16K028,K028,P.S. 028 The Warren Prep Academy,DOE,General Academic,Elementary,265 RALPH AVENUE,,,0,,0,,303,41,37900,BK35,Stuyvesant Heights,Judith James,Principal,718-467-2865,718-953-4189,16,16,COMMUNITY SCHOOL DISTRICT 16,"MARTIN, YOLANDA",NYCDOE Borough Office - Brooklyn North,NULL,81
15K029,K029,P.S. 029 John M. Harrigan,DOE,General Academic,Elementary,425 HENRY STREET,https://www.ps29brooklyn.org/,https://www.ps29brooklyn.org/pta,1,,1,,306,39,4500,BK33,Carroll Gardens-Columbia Street-Red Hook,Rebecca Fagin,Principal,718-330-9277,718-596-1887,15,15,COMMUNITY SCHOOL DISTRICT 15,"SKOP, ANITA",NYCDOE Borough Office - Brooklyn North,NULL,76
20K030,K030,P.S./I.S. 30 Mary White Ovington,DOE,General Academic,K-8,7002 4TH AVENUE,https://www.themarywhiteovingtonschool.org/,,0,,0,,310,43,6800,BK31,Bay Ridge,Carol Heeraman,Principal,718-491-8440,718-491-8445,20,20,COMMUNITY SCHOOL DISTRICT 20,"COSTANTINO, KARINA",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,68
14K031,K031,P.S. 031 Samuel F. Dupont,DOE,General Academic,Elementary,75 MESEROLE AVENUE,https://www.ps31brooklyn.com/,https://www.ps31brooklyn.com/parents,0,,0,,301,33,56100,BK76,Greenpoint,MARY SCARLATO,Principal,718-383-8998,718-383-5652,14,14,COMMUNITY SCHOOL DISTRICT 14,"WINNICKI, ALICJA",NYCDOE Borough Office - Brooklyn North,NULL,94
15K032,K032,P.S. 032 Samuel Mills Sprole,DOE,General Academic,Elementary,317 HOYT STREET,https://www.ps32.org/,https://www.ps32.org/pta,0,,0,,306,39,7500,BK33,Carroll Gardens-Columbia Street-Red Hook,DENISE WATSON,Principal,718-222-6400,718-222-6405,15,15,COMMUNITY SCHOOL DISTRICT 15,"SKOP, ANITA",NYCDOE Borough Office - Brooklyn North,NULL,76
14K034,K034,P.S. 034 Oliver H. Perry,DOE,General Academic,Elementary,131 NORMAN AVENUE,http://www.ps34.org/,https://www.ps34pta.org/,1,,1,,301,33,57300,BK76,Greenpoint,Carmen Asselta,Principal,718-389-5842,718-389-0356,14,14,COMMUNITY SCHOOL DISTRICT 14,"WINNICKI, ALICJA",NYCDOE Borough Office - Brooklyn North,NULL,94
16K035,K035,M.S. 035 Stephen Decatur,DOE,General Academic,Junior High-Intermediate-Middle,272 MACDONOUGH STREET,https://www.ms35k.org/,,0,,0,,303,36,27300,BK35,Stuyvesant Heights,JACQUELINE CHARLES,Principal,718-574-2345,718-452-1273,16,16,COMMUNITY SCHOOL DISTRICT 16,"MARTIN, YOLANDA",NYCDOE Borough Office - Brooklyn North,NULL,81
75K036,K036,P.S. 36,DOE,Special Education,K-12 all grades,2045 LINDEN BOULEVARD,https://www.p36k.org/,,1,Parent Coordinator,1,,305,42,110400,BK82,East New York,Kevin Lenahan,Principal,718-272-6483,718-272-6287,19,75,CITYWIDE SPECIAL EDUCATION,"LOUISSAINT, KETLER",D75 CITYWIDE BCO,Tillman Roberto,75
15K038,K038,P.S. 038 The Pacific,DOE,General Academic,Elementary,450 PACIFIC STREET,https://ps38bklyn.org/,https://ps38bklyn.org/pta/,2,,0,,302,33,3900,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,PASCALE PRADEL,I.A. Principal,718-330-9305,718-802-9542,15,15,COMMUNITY SCHOOL DISTRICT 15,"SKOP, ANITA",NYCDOE Borough Office - Brooklyn North,NULL,84
15K039,K039,P.S. 039 Henry Bristow,DOE,General Academic,Elementary,417 6 AVENUE,https://www.ps39.org/,,0,,0,,306,39,15300,BK37,Park Slope-Gowanus,SARA PANAG,Acting Principal,718-330-9310,718-832-2010,15,15,COMMUNITY SCHOOL DISTRICT 15,"SKOP, ANITA",NYCDOE Borough Office - Brooklyn North,NULL,78
16K040,K040,P.S. 040 George W. Carver,DOE,General Academic,Elementary,265 RALPH AVENUE,https://sites.google.com/view/p-s-40k/home?authuser=0,,0,,0,,303,41,37900,BK35,Stuyvesant Heights,Louise Antoine,Principal,718-574-2353,718-453-0686,16,16,COMMUNITY SCHOOL DISTRICT 16,"MARTIN, YOLANDA",NYCDOE Borough Office - Brooklyn North,NULL,81
23K041,K041,P.S. 041 Francis White,DOE,General Academic,K-8,411 THATFORD AVENUE,https://www.41starrrs.org/,https://www.41starrrs.org/pta,0,,0,,316,42,91800,BK81,Brownsville,SHONELLE HALL,Principal,718-495-7732,718-346-2141,23,23,COMMUNITY SCHOOL DISTRICT 23,"PATE, MIATHERESA",NYCDOE Borough Office - Brooklyn North,NULL,73
13K044,K044,P.S. 044 Marcus Garvey,DOE,General Academic,Elementary,432 MONROE STREET,https://sites.google.com/schools.nyc.gov/ps44/home?authuser=0,https://sites.google.com/schools.nyc.gov/ps44/pta?authuser=0,0,,0,,303,36,27700,BK35,Stuyvesant Heights,Roxanne James,Principal,718-834-6939,718-574-8501,13,13,COMMUNITY SCHOOL DISTRICT 13,"SAMUELS, KAMAR",NYCDOE Borough Office - Brooklyn North,NULL,79
32K045,K045,P.S./I.S. 045 Horace E. Greene,DOE,General Academic,K-8,84 SCHAEFER STREET,https://www.psis45khoraceegreeneschool.org/,,1,PTA President,1,,304,37,40100,BK78,Bushwick South,NADINE MARSHALL,I.A. Principal,718-642-5360,718-574-1043,32,32,COMMUNITY SCHOOL DISTRICT 32,"GORSKI, SHEILA",NYCDOE Borough Office - Brooklyn North,NULL,83
13K046,K046,P.S. 046 Edward C. Blum,DOE,General Academic,Elementary,100 CLERMONT AVENUE,http://www.ps46brooklyn.com/,,0,,0,,302,35,18700,BK68,Fort Greene,MARIA GUZMAN,Principal,718-834-7694,718-243-0726,13,13,COMMUNITY SCHOOL DISTRICT 13,"SAMUELS, KAMAR",NYCDOE Borough Office - Brooklyn North,NULL,88
20K048,K048,P.S. 048 Mapleton,DOE,General Academic,Elementary,6015 18 AVENUE,https://www.ps48mapletonschool.org/,,1,Parent Coordinator,1,,312,44,24400,BK88,Borough Park,DIANE PICUCCI,Principal,718-232-3873,718-232-3451,20,20,COMMUNITY SCHOOL DISTRICT 20,"COSTANTINO, KARINA",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,66
14K050,K050,J.H.S. 050 John D. Wells,DOE,General Academic,Junior High-Intermediate-Middle,183 SOUTH  3 STREET,https://ms50.org/,https://ms50.org/pta,1,Parent Coordinator,1,,301,34,52300,BK73,North Side-South Side,Benjamin Honoroff,Principal,718-387-4184,718-302-2320,14,14,COMMUNITY SCHOOL DISTRICT 14,"WINNICKI, ALICJA",NYCDOE Borough Office - Brooklyn North,NULL,90
15K051,K051,M.S. 51 William Alexander,DOE,General Academic,Junior High-Intermediate-Middle,350 5 AVENUE,https://sites.google.com/k051.org/home,https://sites.google.com/k051.org/home/pa?authuser=0,1,,1,,306,39,13500,BK37,Park Slope-Gowanus,LENORE DILEO BERNER,Principal,718-369-7603,718-499-4948,15,15,COMMUNITY SCHOOL DISTRICT 15,"SKOP, ANITA",NYCDOE Borough Office - Brooklyn North,NULL,78
22K052,K052,P.S. 052 Sheepshead Bay,DOE,General Academic,Elementary,2675 EAST  29 STREET,https://www.ps52k.org/,https://www.ps52k.org/apps/pages/index.jsp?uREC_ID=2164408&type=d&pREC_ID=2174638,1,Parent Coordinator,1,,315,48,60000,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,KRISTIN HURLEY,Principal,718-648-0882,718-648-4636,22,22,COMMUNITY SCHOOL DISTRICT 22,"BOVE, JULIA",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,61
75K053,K053,P.S. K053,DOE,Special Education,K-12 all grades,544 7TH AVENUE,http://www.p53k.org/,http://www.p53k.org/pta.html,1,Parent Coordinator,,,307,38,14700,BK32,Sunset Park West,HEATHER LEYKAM,Principal,718-832-3563,718-965-1734,15,75,CITYWIDE SPECIAL EDUCATION,"LOUISSAINT, KETLER",D75 CITYWIDE BCO,Tillman Roberto,72
13K054,K054,P.S. 054 Samuel C. Barnes,DOE,General Academic,Elementary,195 SANDFORD STREET,https://magnetschool54.org/,,0,,0,,303,33,24100,BK75,Bedford,Anthony Pirro,Principal,718-834-6752,718-852-8129,13,13,COMMUNITY SCHOOL DISTRICT 13,"SAMUELS, KAMAR",NYCDOE Borough Office - Brooklyn North,NULL,79
13K056,K056,P.S. 056 Lewis H. Latimer,DOE,General Academic,Elementary,170 GATES AVENUE,https://www.ps56k.org/,https://www.ps56k.org/academics,1,PTA General,1,,302,35,23100,BK69,Clinton Hill,ERIC GRANDE,Principal,718-857-3149,718-783-7379,13,13,COMMUNITY SCHOOL DISTRICT 13,"SAMUELS, KAMAR",NYCDOE Borough Office - Brooklyn North,NULL,88
16K057,K057,Whitelaw Reid Academy of Arts and Business,DOE,General Academic,Junior High-Intermediate-Middle,125 STUYVESANT AVENUE,https://www.ms57.org/,,1,PTA Community Outreach,,,303,36,29100,BK35,Stuyvesant Heights,ANTHONY LETT,Principal,718-574-2357,718-453-0577,16,16,COMMUNITY SCHOOL DISTRICT 16,"MARTIN, YOLANDA",NYCDOE Borough Office - Brooklyn North,NULL,81
15K058,K058,P.S. 058 The Carroll,DOE,General Academic,Elementary,330 SMITH STREET,https://www.ps58brooklyn.org/ps-58-basics/about-us/,https://www.ps58brooklyn.org/parent-involvement/,1,PTA General,1,,306,39,7700,BK33,Carroll Gardens-Columbia Street-Red Hook,Katherine Dellostritto,Principal,718-330-9322,718-596-2969,15,15,COMMUNITY SCHOOL DISTRICT 15,"SKOP, ANITA",NYCDOE Borough Office - Brooklyn North,NULL,76
14K059,K059,P.S. 059 William Floyd,DOE,General Academic,Elementary,211 THROOP AVENUE,https://www.ps59.org/,https://www.ps59.org/about-3-1,1,PTA General,1,,303,36,28502,BK35,Stuyvesant Heights,Cherry ann Joseph Hislop,Principal,718-443-3600,718-574-6634,14,14,COMMUNITY SCHOOL DISTRICT 14,"WINNICKI, ALICJA",NYCDOE Borough Office - Brooklyn North,NULL,79
17K061,K061,M.S. 061 Dr. Gladstone H. Atwell,DOE,General Academic,Junior High-Intermediate-Middle,400 EMPIRE BOULEVARD,https://www.ms61.net/,,0,,0,,309,40,32900,BK60,Prospect Lefferts Gardens-Wingate,Dewana Daids,Principal,718-774-1002,718-467-4335,17,17,COMMUNITY SCHOOL DISTRICT 17,"ELLIS, CLARENCE",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,71
20K062,K062,J.H.S. 062 Ditmas,DOE,General Academic,Junior High-Intermediate-Middle,700 CORTELYOU ROAD,https://sites.google.com/iditmas.org/ditmas-j-h-s-62/home,https://sites.google.com/iditmas.org/ditmas-j-h-s-62/ditmas-parents/parent-teacher-association?authuser=0,1,PTA President,1,,312,40,49000,BK41,Kensington-Ocean Parkway,Marielen Ciprianosantiag,Principal,718-941-5450,718-693-7433,20,20,COMMUNITY SCHOOL DISTRICT 20,"COSTANTINO, KARINA",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,66
19K065,K065,P.S. 065,DOE,General Academic,Elementary,696 JAMAICA AVENUE,,,0,,0,,305,37,117601,BK83,Cypress Hills-City Line,DAYSI GARCIA,Principal,718-235-2223,718-235-2033,19,19,COMMUNITY SCHOOL DISTRICT 19,THOMAS MCBRYDE JR,NYCDOE Borough Office - Brooklyn North,NULL,75
18K066,K066,P.S. 66,DOE,General Academic,K-8,845 EAST  96 STREET,,,0,,0,,318,42,97000,BK50,Canarsie,Tameeka McNeil,I.A. Principal,718-922-3505,718-922-3105,18,18,COMMUNITY SCHOOL DISTRICT 18,"WILKINS, BEVERLY",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,69
13K067,K067,P.S. 067 Charles A. Dorsey,DOE,General Academic,Elementary,51 SAINT EDWARDS STREET,https://www.thedorseyschool.org/,https://www.thedorseyschool.org/pta,0,,0,,302,35,2901,BK68,Fort Greene,Kyesha Jackson,Principal,718-834-6756,718-834-6719,13,13,COMMUNITY SCHOOL DISTRICT 13,"SAMUELS, KAMAR",NYCDOE Borough Office - Brooklyn North,NULL,88
18K068,K068,I.S. 068 Isaac Bildersee,DOE,General Academic,Junior High-Intermediate-Middle,956 EAST  82 STREET,https://www.is68.org/,,1,Parent Coordinator,1,,318,46,95600,BK50,Canarsie,Merve Williams,Principal,718-241-4800,718-241-5582,18,18,COMMUNITY SCHOOL DISTRICT 18,"WILKINS, BEVERLY",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,69
20K069,K069,P.S. 69 Vincent D. Grippo School,DOE,General Academic,Elementary,6302 9TH AVENUE,https://www.ps69k.org/,https://www.ps69k.org/parent-resources,1,Parent Coordinator,1,0,310,38,12000,BK34,Sunset Park East,JAYNEMARIE CAPETANAKIS,Principal,718-630-3899,718-630-3894,20,20,COMMUNITY SCHOOL DISTRICT 20,"COSTANTINO, KARINA",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,68
14K071,K071,Juan Morel Campos Secondary School,DOE,General Academic,Secondary School,215 HEYWARD STREET,https://www.juanmorelcampos.com/,https://www.juanmorelcampos.com/pta,1,PTA President,1,,301,33,52900,BK72,Williamsburg,ESTHER SHALI OGLI,Principal,718-302-7900,718-302-7979,14,14,COMMUNITY SCHOOL DISTRICT 14,"WINNICKI, ALICJA",NYCDOE Borough Office - Brooklyn North,NULL,90
32K075,K075,P.S. 075 Mayda Cortiella,DOE,General Academic,Elementary,95 GROVE STREET,,,0,,0,,304,34,41900,BK78,Bushwick South,Yolanda Williams,Principal,718-574-0244,718-574-1051,32,32,COMMUNITY SCHOOL DISTRICT 32,"GORSKI, SHEILA",NYCDOE Borough Office - Brooklyn North,NULL,83
75K077,K077,P.S. K077,DOE,Special Education,K-12 all grades,62 PARK PLACE,https://sites.google.com/view/p77k,,0,,0,,306,39,12902,BK37,Park Slope-Gowanus,Ebony Russell,Principal,718-789-1191,718-857-2667,13,75,CITYWIDE SPECIAL EDUCATION,"LOUISSAINT, KETLER",D75 CITYWIDE BCO,Tillman Roberto,78
22K078,K078,J.H.S. 078 Roy H. Mann,DOE,General Academic,Junior High-Intermediate-Middle,1420 EAST  68 STREET,http://www.royhmann.com/,http://www.royhmann.com/pta.html,0,,0,,318,46,69602,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,Anthony Cusumano,Principal,718-763-4701,718-251-3439,22,22,COMMUNITY SCHOOL DISTRICT 22,"BOVE, JULIA",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,63
16K081,K081,P.S. 081 Thaddeus Stevens,DOE,General Academic,Elementary,990 DEKALB AVENUE,https://www.ps81cheetahs.com/,https://www.ps81cheetahs.com/school-leadership-team,0,,0,,303,36,28900,BK35,Stuyvesant Heights,Latrace Finney,I.A. Principal,718-574-2365,718-919-9872,16,16,COMMUNITY SCHOOL DISTRICT 16,"MARTIN, YOLANDA",NYCDOE Borough Office - Brooklyn North,NULL,81
14K084,K084,P.S. 084 Jose De Diego,DOE,General Academic,K-8,250 BERRY STREET,https://www.ps84k.org/,,1,PTA General,1,,301,34,55100,BK73,North Side-South Side,Sereida Rodriguez,Principal,718-384-8063,718-302-2313,14,14,COMMUNITY SCHOOL DISTRICT 14,"WINNICKI, ALICJA",NYCDOE Borough Office - Brooklyn North,NULL,90
32K086,K086,P.S. 086 The Irvington,DOE,General Academic,Elementary,220 IRVING AVENUE,,,0,,0,,304,37,43100,BK77,Bushwick North,Tina Moschella Andre,Principal,718-574-0252,718-919-1839,32,32,COMMUNITY SCHOOL DISTRICT 32,"GORSKI, SHEILA",NYCDOE Borough Office - Brooklyn North,NULL,83
15K088,K088,J.H.S. 088 Peter Rouget,DOE,General Academic,Junior High-Intermediate-Middle,544 7TH AVENUE,https://ms88.org/,https://ms88.org/parents/#pta,1,PTA General,1,,307,38,14700,BK32,Sunset Park West,AILENE MITCHELL,Principal,718-788-4482,718-768-0213,15,15,COMMUNITY SCHOOL DISTRICT 15,"SKOP, ANITA",NYCDOE Borough Office - Brooklyn North,NULL,72
19K089,K089,P.S. 089 Cypress Hills,DOE,General Academic,K-8,265 WARWICK STREET,https://chcs89.org/,,0,,0,,305,37,117000,BK82,East New York,IRENE LEON,Principal,718-964-1180,718-964-1185,19,19,COMMUNITY SCHOOL DISTRICT 19,THOMAS MCBRYDE JR,NYCDOE Borough Office - Brooklyn North,NULL,75
21K090,K090,P.S. 90 Edna Cohen School,DOE,General Academic,Elementary,2840 WEST  12 STREET,https://www.ps90.org/,,0,,0,,313,47,35000,BK23,West Brighton,GRETA HAWKINS,Principal,718-787-3333,718-787-3335,21,21,COMMUNITY SCHOOL DISTRICT 21,"DIMOLA, ISABEL",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,60
17K091,K091,P.S. 091 The Albany Avenue School,DOE,General Academic,Elementary,532 ALBANY AVENUE,,,0,,0,,309,41,80600,BK60,Prospect Lefferts Gardens-Wingate,Tessa Alleyne,Principal,718-756-0243,718-221-1316,17,17,COMMUNITY SCHOOL DISTRICT 17,"ELLIS, CLARENCE",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,71
